sample_id,ACVD,AS,BloodPressureAbnormalities,ColorectalLesions,IBD,IGT,T2D,cirrhosis,control,fatty_liver,melanoma,schizophrenia
SAMD00114914,0.040000000000000001,0,0.01,1,0,0.01,0,0,0.02,0,0,0
SAMD00114915,0.01,0,0,1,0,0,0,0,0,0,0,0
SAMD00114916,0.13,0,0,0.31,0.01,0.01,0,0.27000000000000002,0.16,0.01,0,0
SAMD00114919,0.02,0,0,1,0.050000000000000003,0,0,0,0.19,0.02,0,0
SAMD00114920,0,0,0,1,0,0,0,0,0.01,0,0,0
SAMD00114921,0,0,0,0.98999999999999999,0.02,0,0.050000000000000003,0,0.28000000000000003,0,0,0
SAMD00114922,0,0,0,0.98999999999999999,0.14000000000000001,0,0,0,0.20999999999999999,0.01,0,0
SAMD00114923,0,0,0,1,0,0,0,0,0.17000000000000001,0,0,0
SAMD00114924,0,0,0.01,0.97999999999999998,0.01,0,0.12,0,0.16,0,0,0
SAMD00114925,0,0,0,0.98999999999999999,0,0,0,0,0.12,0,0,0
SAMD00114926,0.01,0,0.01,0.62,0.01,0,0.059999999999999998,0.01,0.22,0,0,0
SAMD00114928,0.050000000000000003,0,0.029999999999999999,0.33000000000000002,0.29999999999999999,0.080000000000000002,0.050000000000000003,0.01,0.40000000000000002,0.02,0,0
SAMD00114929,0,0,0,0.22,0.31,0.029999999999999999,0.02,0,0.81000000000000005,0,0,0
SAMD00114931,0,0,0,1,0,0,0,0,0.02,0,0,0
SAMD00114932,0.029999999999999999,0,0.02,0.33000000000000002,0.14000000000000001,0,0.01,0.14000000000000001,0.28000000000000003,0.02,0,0
SAMD00114933,0,0,0,0.95999999999999996,0.070000000000000007,0,0.01,0,0.12,0,0,0
SAMD00114937,0,0,0,0.96999999999999997,0.029999999999999999,0,0,0,0.17999999999999999,0,0,0
SAMD00114939,0,0,0,0.97999999999999998,0,0,0,0,0.19,0,0,0
SAMD00114940,0.040000000000000001,0.01,0,0.62,0.040000000000000001,0,0,0.16,0.58999999999999997,0,0,0
SAMD00114941,0,0,0.01,0.37,0.87,0.53000000000000003,0,0,0.20999999999999999,0.02,0,0
SAMD00114942,0,0,0,0.070000000000000007,0.19,0,0.029999999999999999,0,0.90000000000000002,0,0,0
SAMD00114944,0,0,0,1,0.01,0,0,0,0.01,0,0,0
SAMD00114945,0,0.070000000000000007,0,0.080000000000000002,0.029999999999999999,0,0,0,0.96999999999999997,0.070000000000000007,0,0
SAMD00114948,0.01,0.48999999999999999,0,0.14000000000000001,0.059999999999999998,0,0.01,0,0.55000000000000004,0,0,0
SAMD00114949,0,0,0.11,0.14999999999999999,0.70999999999999996,0,0.17000000000000001,0,0.5,0,0.01,0
SAMD00114950,0,0,0,0.13,0.01,0.02,0.01,0,0.96999999999999997,0.02,0,0
